,Age,Unnamed: 0,Unnamed: 0.1,cantonName,faction,party,birthDate,firstName,lastName,gender,entryDate
57,62,57,4169,FR,V,UDC,1960-04-19T00:00:00Z,Pierre-André,Page,m,2015-11-30T00:00:00Z
137,62,137,4251,SG,GL,pvl,1960-07-25T00:00:00Z,Thomas,Brunner,m,2019-12-02T00:00:00Z
143,62,143,4257,VD,RL,PLR,1960-06-24T00:00:00Z,Jacqueline,de Quattro,f,2019-12-02T00:00:00Z
14,62,14,4110,ZH,None,UDC,1959-11-27T00:00:00Z,Hans,Egloff,m,2011-12-05T00:00:00Z
16,62,16,4114,AG,V,UDC,1960-03-24T00:00:00Z,Hansjörg,Knecht,m,2011-12-05T00:00:00Z
236,62,236,3899,BL,S,PSS,1960-07-11T00:00:00Z,Eric,Nussbaumer,m,2007-12-03T00:00:00Z
28,62,28,4131,SG,S,PSS,1960-07-19T00:00:00Z,Claudia,Friedl,f,2013-03-04T00:00:00Z
32,63,32,4137,GE,None,MCG,1959-09-23T00:00:00Z,Roger,Golay,m,2013-12-02T00:00:00Z
249,63,249,3999,ZH,G,VERT-E-S,1959-10-12T00:00:00Z,Katharina,Prelicz-Huber,f,2008-09-15T00:00:00Z
23,63,23,4124,LU,RL,PLR,1959-06-01T00:00:00Z,Peter,Schilliger,m,2012-09-10T00:00:00Z
106,63,106,4217,TI,RL,PLR,1958-12-06T00:00:00Z,Rocco,Cattaneo,m,2017-11-27T00:00:00Z
257,63,257,1108,VD,None,UDC,1959-11-09T00:00:00Z,Guy,Parmelin,m,2003-12-01T00:00:00Z
129,63,129,4234,ZH,V,UDC,1959-04-14T00:00:00Z,Therese,Schläpfer,f,2019-06-03T00:00:00Z
8,63,8,1120,GE,S,PSS,1959-07-08T00:00:00Z,Carlo,Sommaruga,m,2003-12-01T00:00:00Z
5,63,5,4101,FR,M-E,M-E,1959-10-13T00:00:00Z,Christine,Bulliard-Marbach,f,2011-12-05T00:00:00Z
214,63,214,3867,BE,V,UDC,1958-11-26T00:00:00Z,Andreas,Aebi,m,2007-12-03T00:00:00Z
253,63,253,4030,LU,S,PSS,1959-02-04T00:00:00Z,Prisca,Birrer-Heimo,f,2010-05-31T00:00:00Z
244,63,244,3910,BE,V,UDC,1958-12-30T00:00:00Z,Erich,von Siebenthal,m,2007-12-03T00:00:00Z
102,64,102,1142,SO,V,UDC,1957-11-21T00:00:00Z,Walter,Wobmann,m,2003-12-01T00:00:00Z
101,64,101,4209,ZH,None,PLR,1958-04-05T00:00:00Z,Hans-Ulrich,Bigler,m,2015-12-08T00:00:00Z
285,64,285,4074,JU,S,PSS,1957-11-20T00:00:00Z,Pierre-Alain,Fridez,m,2011-12-05T00:00:00Z
215,64,215,3872,FR,RL,PLR,1958-03-14T00:00:00Z,Jacques,Bourgeois,m,2007-12-03T00:00:00Z
267,64,267,1111,LU,None,UDC,1958-01-22T00:00:00Z,Felix,Müri,m,2003-12-01T00:00:00Z
1,64,1,4097,LU,M-E,M-E,1958-07-04T00:00:00Z,Leo,Müller,m,2011-12-05T00:00:00Z
184,64,184,4299,SO,G,VERT-E-S,1958-01-19T00:00:00Z,Felix,Wettstein,m,2019-12-02T00:00:00Z
233,64,233,1337,LU,M-E,M-E,1958-09-29T00:00:00Z,Ida,Glanzmann-Hunkeler,f,2006-09-18T00:00:00Z
134,64,134,4249,AG,M-E,M-E,1958-06-15T00:00:00Z,Marianne,Binder-Keller,f,2019-12-02T00:00:00Z
251,65,251,4018,NE,None,PSS,1957-05-27T00:00:00Z,Jacques-André,Maire,m,2009-09-21T00:00:00Z
37,65,37,1071,AG,M-E,M-E,1957-07-23T00:00:00Z,Ruth,Humbel,f,2003-09-15T00:00:00Z
235,65,235,3898,GE,V,UDC,1957-05-17T00:00:00Z,Yves,Nidegger,m,2007-12-03T00:00:00Z
256,65,256,4036,BE,M-E,PEV,1957-08-17T00:00:00Z,Marianne,Streiff-Feller,f,2010-09-13T00:00:00Z
218,65,218,3877,ZH,RL,PLR,1957-01-29T00:00:00Z,Doris,Fiala,f,2007-12-03T00:00:00Z
278,65,278,4066,ZH,None,PBD,1957-07-18T00:00:00Z,Rosmarie,Quadranti,f,2011-12-05T00:00:00Z
111,65,111,4219,VD,S,PSS,1957-10-06T00:00:00Z,Brigitte,Crottaz,f,2018-02-26T00:00:00Z
84,66,84,1124,FR,None,PDC,1956-04-28T00:00:00Z,Dominique,de Buman,m,2003-12-01T00:00:00Z
274,66,274,4061,ZH,None,PSS,1956-04-02T00:00:00Z,Thomas,Hardegger,m,2011-12-05T00:00:00Z
226,66,226,3886,BE,None,PBD,1956-06-13T00:00:00Z,Hans,Grunder,m,2007-12-03T00:00:00Z
294,66,294,4085,OW,None,csp-ow,1956-03-24T00:00:00Z,Karl,Vogler,m,2011-12-05T00:00:00Z
144,66,144,4258,TG,G,VERT-E-S,1956-01-19T00:00:00Z,Kurt,Egger,m,2019-12-02T00:00:00Z
30,66,30,4134,SH,S,PSS,1955-12-26T00:00:00Z,Martina,Munz,f,2013-09-09T00:00:00Z
26,66,26,4129,TG,V,UDC,1956-02-07T00:00:00Z,Verena,Herzog,f,2013-03-04T00:00:00Z
279,67,279,4067,GR,None,UDC,1955-09-06T00:00:00Z,Heinz,Brand,m,2011-12-05T00:00:00Z
286,67,286,4071,BE,None,PBD,1955-03-15T00:00:00Z,Urs,Gasche,m,2011-12-05T00:00:00Z
40,67,40,4146,BE,M-E,M-E,1955-10-11T00:00:00Z,Heinz,Siegenthaler,m,2014-11-24T00:00:00Z
82,67,82,1122,SO,RL,PLR,1955-08-19T00:00:00Z,Kurt,Fluri,m,2003-12-01T00:00:00Z
0,67,0,4096,SZ,M-E,M-E,1955-04-03T00:00:00Z,Alois,Gmür,m,2011-12-05T00:00:00Z
83,67,83,4195,GE,S,PSS,1955-09-11T00:00:00Z,Laurence,Fehlmann Rielle,f,2015-11-30T00:00:00Z
268,67,268,4054,LU,None,None,1955-06-26T00:00:00Z,Albert,Vitali,m,2011-12-05T00:00:00Z
197,68,197,4312,TI,S,PSS,1954-08-17T00:00:00Z,Bruno,Storni,m,2019-12-02T00:00:00Z
224,68,224,3883,VD,None,UDC,1954-10-18T00:00:00Z,Alice,Glauser-Zufferey,f,2007-12-03T00:00:00Z
94,68,94,1129,BS,None,PSS,1954-01-17T00:00:00Z,Silvia,Schenker,f,2003-12-01T00:00:00Z
95,68,95,1135,BE,None,UDC,1953-12-02T00:00:00Z,Adrian,Amstutz,m,2003-12-01T00:00:00Z
216,68,216,3875,AG,None,PLR,1954-10-14T00:00:00Z,Corina,Eichenberger-Walther,f,2007-12-03T00:00:00Z
247,68,247,3931,ZH,None,pvl,1954-07-14T00:00:00Z,Thomas,Weibel,m,2007-12-10T00:00:00Z
107,69,107,1147,BE,None,PSS,1953-04-17T00:00:00Z,Margret,Kiener Nellen,f,2003-12-01T00:00:00Z
75,69,75,91,AG,None,UDC,1953-10-31T00:00:00Z,Ulrich,Giezendanner,m,1991-11-25T00:00:00Z
240,69,240,1345,SG,None,UDC,1952-12-01T00:00:00Z,Thomas,Müller,m,2006-12-04T00:00:00Z
202,70,202,224,BE,None,None,1952-04-16T00:00:00Z,Alexander,Tschäppät,m,1991-11-25T00:00:00Z
192,70,192,214,AG,None,UDC,1952-09-09T00:00:00Z,Luzi,Stamm,m,1991-11-25T00:00:00Z
248,70,248,354,GR,None,PSS,1952-02-08T00:00:00Z,Silva,Semadeni,f,1995-12-04T00:00:00Z
297,70,297,502,ZH,None,PDC,1952-10-21T00:00:00Z,Kathy,Riklin,f,1999-12-06T00:00:00Z
222,70,222,1318,LU,None,VERT-E-S,1952-10-31T00:00:00Z,Louis,Schelbert,m,2006-03-06T00:00:00Z
219,70,219,3878,AG,None,UDC,1952-06-01T00:00:00Z,Sylvia,Flückiger-Bäni,f,2007-12-03T00:00:00Z
64,70,64,1104,SG,None,PDC,1952-05-29T00:00:00Z,Jakob,Büchler,m,2003-12-01T00:00:00Z
81,70,81,4192,TG,None,PLR,1951-12-22T00:00:00Z,Hermann,Hess,m,2015-11-30T00:00:00Z
296,70,296,4087,JU,M-E,M-E,1952-10-31T00:00:00Z,Jean-Paul,Gschwind,m,2011-12-05T00:00:00Z
58,71,58,74,BS,None,PLD,1951-01-15T00:00:00Z,Christoph,Eymann,m,1991-11-25T00:00:00Z
15,71,15,4113,GE,None,PSS,1951-04-20T00:00:00Z,Manuel,Tornare,m,2011-12-05T00:00:00Z
293,71,293,4084,ZG,None,PLR,1951-03-04T00:00:00Z,Bruno,Pezzatti,m,2011-12-05T00:00:00Z
9,71,9,519,TG,None,UDC,1951-02-05T00:00:00Z,Hansjörg,Walter,m,1999-12-06T00:00:00Z
190,72,190,724,VD,None,VERT-E-S,1950-01-04T00:00:00Z,Daniel,Brélaz,m,1979-11-26T00:00:00Z
70,72,70,4182,VD,None,PDC,1949-12-04T00:00:00Z,Claude,Béglé,m,2015-11-30T00:00:00Z
86,72,86,4196,ZH,None,PSS,1950-09-19T00:00:00Z,Tim,Guldimann,m,2015-11-30T00:00:00Z
270,72,270,1119,FR,None,UDC,1950-06-28T00:00:00Z,Jean-François,Rime,m,2003-12-01T00:00:00Z
97,74,97,1137,SG,None,PLR,1948-04-25T00:00:00Z,Walter,Müller,m,2003-12-01T00:00:00Z
282,74,282,487,BL,None,PSS,1948-03-06T00:00:00Z,Susanne,Leutenegger Oberholzer,f,1987-12-01T00:00:00Z
254,74,254,4031,ZH,None,PEV,1948-05-23T00:00:00Z,Maja,Ingold,f,2010-05-31T00:00:00Z
225,75,225,3885,VD,V,UDC,1947-03-16T00:00:00Z,Jean-Pierre,Grin,m,2007-12-03T00:00:00Z
116,76,116,1156,SO,None,PSS,1946-04-07T00:00:00Z,Bea,Heim,f,2003-12-01T00:00:00Z
154,80,154,173,AG,None,UDC,1942-05-07T00:00:00Z,Maximilian,Reimann,m,1987-11-30T00:00:00Z
